code,name,name_en,market,sector
2002,日清製粉グループ本社,,プライム（内国株式）,3050
2003,日東富士製粉,,スタンダード（内国株式）,3050
2004,昭和産業,,プライム（内国株式）,3050
2009,鳥越製粉,,スタンダード（内国株式）,3050
200A,ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,,ETF・ETN,-
2011,ＳＭＤＡＭ　Ａｃｔｉｖｅ　ＥＴＦ　日本高配当株式,,ETF・ETN,-
2012,ｉシェアーズ　米国債０－３ヶ月　ＥＴＦ,,ETF・ETN,-
2013,ｉシェアーズ　米国高配当株　ＥＴＦ,,ETF・ETN,-
2014,ｉシェアーズ　米国連続増配株　ＥＴＦ,,ETF・ETN,-
2015,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジなし）,,ETF・ETN,-
2016,ｉＦｒｅｅＥＴＦ　米国国債７－１０年（為替ヘッジあり）,,ETF・ETN,-
2017,ｉＦｒｅｅＥＴＦ　ＪＰＸプライム１５０,,ETF・ETN,-
2018,グローバルＸ　ＵＳ　ＲＥＩＴ・トップ２０　ＥＴＦ,,ETF・ETN,-
2019,グローバルＸ　米国優先証券　ＥＴＦ（隔月分配型）,,ETF・ETN,-
201A,ｉシェアーズ　Ｎｉｆｔｙ　５０　インド株　ＥＴＦ,,ETF・ETN,-
202A,豆蔵,,グロース（内国株式）,5250
2031,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ダブル・ブル　ＥＴＮ,,ETF・ETN,-
2032,ＮＥＸＴ　ＮＯＴＥＳ　香港ハンセン・ベア　ＥＴＮ,,ETF・ETN,-
2033,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ダブル・ブル　ＥＴＮ,,ETF・ETN,-
2034,ＮＥＸＴ　ＮＯＴＥＳ　韓国ＫＯＳＰＩ・ベア　ＥＴＮ,,ETF・ETN,-
2036,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ダブル・ブル　ＥＴＮ,,ETF・ETN,-
2037,ＮＥＸＴ　ＮＯＴＥＳ　金先物　ベア　ＥＴＮ,,ETF・ETN,-
2038,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ダブル・ブル　ＥＴＮ,,ETF・ETN,-
2039,ＮＥＸＴ　ＮＯＴＥＳ　ドバイ原油先物　ベア　ＥＴＮ,,ETF・ETN,-
203A,シュンビン,,PRO Market,9050
2040,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ダブル・ブル・ドルヘッジ　ＥＴＮ,,ETF・ETN,-
2041,ＮＥＸＴ　ＮＯＴＥＳ　ＮＹダウ・ベア・ドルヘッジ　ＥＴＮ,,ETF・ETN,-
2042,ＮＥＸＴ　ＮＯＴＥＳ　東証グロース市場２５０　ＥＴＮ,,ETF・ETN,-
2043,ＮＥＸＴ　ＮＯＴＥＳ　ＳＴＯＸＸ　アセアン好配当５０（円、ネットリターン）ＥＴＮ,,ETF・ETN,-
2044,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ５００　配当貴族（ネットリターン）　ＥＴＮ,,ETF・ETN,-
2045,ＮＥＸＴ　ＮＯＴＥＳ　Ｓ＆Ｐ　シンガポール　リート（ネットリターン）　ＥＴＮ,,ETF・ETN,-
2046,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ダブル・ブル　ＥＴＮ,,ETF・ETN,-
2047,ＮＥＸＴ　ＮＯＴＥＳ　インドＮｉｆｔｙ・ベア　ＥＴＮ,,ETF・ETN,-
2048,ＮＥＸＴ　ＮＯＴＥＳ　野村日本株高配当７０（ドルヘッジ、ネットリターン）ＥＴＮ,,ETF・ETN,-
204A,タイヨーパッケージ,,PRO Market,3150
2050,ＮＥＸＴ　ＮＯＴＥＳ　ニッチトップ　中小型日本株（ネットリターン）ＥＴＮ,,ETF・ETN,-
2053,中部飼料,,プライム（内国株式）,3050
2055,日和産業,,スタンダード（内国株式）,3050
205A,ロゴスホールディングス,,グロース（内国株式）,2050
2060,フィード・ワン,,プライム（内国株式）,3050
2065,ＮＥＸＴ　ＮＯＴＥＳ　日本株配当貴族（ドルヘッジ、ネットリターン）ＥＴＮ,,ETF・ETN,-
2066,ＮＥＸＴ　ＮＯＴＥＳ　東証ＲＥＩＴ（ドルヘッジ、ネットリターン）ＥＴＮ,,ETF・ETN,-
2067,ＮＥＸＴ　ＮＯＴＥＳ　野村ＡＩビジネス７０（ネットリターン）ＥＴＮ,,ETF・ETN,-
2068,ＮＥＸＴ　ＮＯＴＥＳ　高ベータ３０（ネットリターン）ＥＴＮ,,ETF・ETN,-
2069,ＮＥＸＴ　ＮＯＴＥＳ　低ベータ５０（ネットリターン）ＥＴＮ,,ETF・ETN,-
206A,ＰＲＩＳＭ　ＢｉｏＬａｂ,,グロース（内国株式）,3250
2070,スマートＥＳＧ３０女性活躍（ネットリターン）ＥＴＮ,,ETF・ETN,-
2071,スマートＥＳＧ３０総合（ネットリターン）ＥＴＮ,,ETF・ETN,-
2072,トップシェアインデックス（ネットリターン）ＥＴＮ,,ETF・ETN,-
2073,スマートＥＳＧ３０低カーボンリスク（ネットリターン）ＥＴＮ,,ETF・ETN,-
207A,ライジングコーポレーション,,PRO Market,2050
2080,ＰＢＲ１倍割れ解消推進ＥＴＦ,,ETF・ETN,-
2081,政策保有解消推進ＥＴＦ,,ETF・ETN,-
2082,投資家経営者一心同体ＥＴＦ,,ETF・ETN,-
2083,ＮＥＸＴ　ＦＵＮＤＳ　日本成長株アクティブ上場投信,,ETF・ETN,-
2084,ＮＥＸＴ　ＦＵＮＤＳ　日本高配当株アクティブ上場投信,,ETF・ETN,-
2085,ＭＡＸＩＳ高配当日本株アクティブ上場投信,,ETF・ETN,-
2086,ＮＺＡＭ　上場投信　Ｓ＆Ｐ５００（為替ヘッジあり）,,ETF・ETN,-
2087,ＮＺＡＭ　上場投信　ＮＡＳＤＡＱ１００（為替ヘッジあり）,,ETF・ETN,-
2088,ＮＺＡＭ　上場投信　ＮＹダウ３０（為替ヘッジあり）,,ETF・ETN,-
2089,ＮＺＡＭ　上場投信　ＤＡＸ（為替ヘッジあり）,,ETF・ETN,-
208A,構造計画研究所ホールディングス,,スタンダード（内国株式）,5250
2090,ＮＺＡＭ　上場投信　米国国債７－１０年（為替ヘッジあり）,,ETF・ETN,-
2091,ＮＺＡＭ　上場投信　ドイツ国債７－１０年（為替ヘッジあり）,,ETF・ETN,-
2092,ＮＺＡＭ　上場投信　フランス国債７－１０年（為替ヘッジあり）,,ETF・ETN,-
2093,上場Ｔｒａｃｅｒｓ　米国債０－２年ラダー（為替ヘッジなし）,,ETF・ETN,-
2094,東証ＲＥＩＴインバースＥＴＦ,,ETF・ETN,-
2095,グローバルＸ　Ｓ＆Ｐ５００配当貴族　ＥＴＦ（為替ヘッジあり）,,ETF・ETN,-
2096,グローバルＸ　オフィス・Ｊ－ＲＥＩＴ　ＥＴＦ,,ETF・ETN,-
2097,グローバルＸ　レジデンシャル・Ｊ－ＲＥＩＴ　ＥＴＦ,,ETF・ETN,-
2098,グローバルＸ　ホテル＆リテール・Ｊ－ＲＥＩＴ　ＥＴＦ,,ETF・ETN,-
209A,小野谷機工,,PRO Market,3600
2108,日本甜菜製糖,,プライム（内国株式）,3050
2109,ＤＭ三井製糖,,プライム（内国株式）,3050
210A,ｉＦｒｅｅＥＴＦ　日経高利回りＲＥＩＴ指数,,ETF・ETN,-
2112,塩水港精糖,,スタンダード（内国株式）,3050
2114,フジ日本,,スタンダード（内国株式）,3050
2117,ウェルネオシュガー,,プライム（内国株式）,3050
211A,カドス・コーポレーション,,スタンダード（内国株式）,2050
2120,ＬＩＦＵＬＬ,,プライム（内国株式）,9050
2121,ＭＩＸＩ,,プライム（内国株式）,5250
2122,インタースペース,,スタンダード（内国株式）,9050
2124,ジェイエイシーリクルートメント,,プライム（内国株式）,9050
2127,日本Ｍ＆Ａセンターホールディングス,,プライム（内国株式）,9050
212A,フィットイージー,,プライム（内国株式）,9050
2130,メンバーズ,,プライム（内国株式）,9050
2134,北浜キャピタルパートナーズ,,スタンダード（内国株式）,9050
2136,ヒップ,,スタンダード（内国株式）,9050
2138,クルーズ,,スタンダード（内国株式）,5250
2139,中広,,スタンダード（内国株式）,9050
213A,上場インデックスファンド日経半導体株,,ETF・ETN,-
2146,ＵＴグループ,,プライム（内国株式）,9050
2148,アイティメディア,,プライム（内国株式）,9050
2152,幼児活動研究会,,スタンダード（内国株式）,9050
2153,Ｅ・Ｊホールディングス,,プライム（内国株式）,9050
2154,オープンアップグループ,,プライム（内国株式）,9050
2156,セーラー広告,,スタンダード（内国株式）,9050
2157,コシダカホールディングス,,プライム（内国株式）,9050
2158,ＦＲＯＮＴＥＯ,,グロース（内国株式）,9050
215A,タイミー,,グロース（内国株式）,9050
2160,ジーエヌアイグループ,,グロース（内国株式）,3250
2162,ｎｍｓ　ホールディングス,,スタンダード（内国株式）,9050
2163,アルトナー,,プライム（内国株式）,9050
2164,地域新聞社,,グロース（内国株式）,9050
2168,パソナグループ,,プライム（内国株式）,9050
2169,ＣＤＳ,,スタンダード（内国株式）,9050
216A,ライフクリエイト,,PRO Market,6100
2170,リンクアンドモチベーション,,プライム（内国株式）,9050
2173,博展,,グロース（内国株式）,9050
2175,エス・エム・エス,,プライム（内国株式）,9050
2179,成学社,,スタンダード（内国株式）,9050
217A,サポート,,PRO Market,9050
2180,サニーサイドアップグループ,,スタンダード（内国株式）,9050
2181,パーソルホールディングス,,プライム（内国株式）,9050
2183,リニカル,,スタンダード（内国株式）,9050
2185,シイエム・シイ,,スタンダード（内国株式）,9050
2186,ソーバル,,スタンダード（内国株式）,9050
218A,Ｌｉｂｅｒａｗａｒｅ,,グロース（内国株式）,3750
2193,クックパッド,,スタンダード（内国株式）,9050
2195,アミタホールディングス,,グロース（内国株式）,9050
2196,エスクリ,,スタンダード（内国株式）,9050
2198,アイ・ケイ・ケイホールディングス,,プライム（内国株式）,9050
219A,Ｈｅａｒｔｓｅｅｄ,,グロース（内国株式）,3250
2201,森永製菓,,プライム（内国株式）,3050
2204,中村屋,,スタンダード（内国株式）,3050
2206,江崎グリコ,,プライム（内国株式）,3050
2207,ｍｅｉｔｏ,,プライム（内国株式）,3050
2208,ブルボン,,スタンダード（内国株式）,3050
2209,井村屋グループ,,プライム（内国株式）,3050
220A,Ｆａｂｅｒ　Ｃｏｍｐａｎｙ,,スタンダード（内国株式）,5250
2211,不二家,,プライム（内国株式）,3050
2212,山崎製パン,,プライム（内国株式）,3050
2215,第一屋製パン,,スタンダード（内国株式）,3050
2216,カンロ,,スタンダード（内国株式）,3050
2217,モロゾフ,,プライム（内国株式）,3050
221A,ＭＡＸＩＳ日経半導体株上場投信,,ETF・ETN,-
2220,亀田製菓,,プライム（内国株式）,3050
2221,岩塚製菓,,スタンダード（内国株式）,3050
2222,寿スピリッツ,,プライム（内国株式）,3050
2224,コモ,,スタンダード（内国株式）,3050
2226,湖池屋,,スタンダード（内国株式）,3050
2229,カルビー,,プライム（内国株式）,3050
222A,ＮＩＣＳ,,PRO Market,5250
2235,上場インデックスファンド米国株式（ダウ平均）為替ヘッジなし,,ETF・ETN,-
2236,グローバルＸ　Ｓ＆Ｐ５００配当貴族ＥＴＦ,,ETF・ETN,-
2237,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００レバレッジ,,ETF・ETN,-
2238,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００インバース,,ETF・ETN,-
2239,上場インデックスファンドＳ＆Ｐ５００先物レバレッジ２倍,,ETF・ETN,-
223A,グローバルＸ　ＡＩ＆ビッグデータ　ＥＴＦ,,ETF・ETN,-
2240,上場インデックスファンドＳ＆Ｐ５００先物インバース,,ETF・ETN,-
2241,ＭＡＸＩＳ　ＮＹダウ上場投信,,ETF・ETN,-
2242,ＭＡＸＩＳ　ＮＹダウ上場投信（為替ヘッジあり）,,ETF・ETN,-
2243,グローバルＸ　半導体　ＥＴＦ,,ETF・ETN,-
2244,グローバルＸ　ＵＳ　テック・トップ２０　ＥＴＦ,,ETF・ETN,-
2245,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・ドイツ国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,,ETF・ETN,-
2246,ＮＥＸＴ　ＦＵＮＤＳ　ブルームバーグ・フランス国債（７－１０年）インデックス（為替ヘッジあり）連動型上場投信,,ETF・ETN,-
2247,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジなし）,,ETF・ETN,-
2248,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００（為替ヘッジあり）,,ETF・ETN,-
2249,ｉＦｒｅｅＥＴＦ　Ｓ＆Ｐ５００ダブルインバース,,ETF・ETN,-
224A,グローバルＸ　ウラニウムビジネス　ＥＴＦ,,ETF・ETN,-
2250,ｉシェアーズ　ＭＳＣＩ　ジャパン気候変動アクション　ＥＴＦ,,ETF・ETN,-
2251,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ国債先物ダブルインバース指数連動型上場投信,,ETF・ETN,-
2252,グローバルＸ　Ｍｏｒｎｉｎｇｓｔａｒ　米国中小型　Ｍｏａｔ　ＥＴＦ,,ETF・ETN,-
2253,グローバルＸ　スーパーディビィデンド－ＵＳ　ＥＴＦ,,ETF・ETN,-
2254,グローバルＸ　チャイナＥＶ＆バッテリー　ＥＴＦ,,ETF・ETN,-
2255,ｉシェアーズ　米国債２０年超　ＥＴＦ,,ETF・ETN,-
2256,ｉシェアーズ　米国総合債券　ＥＴＦ,,ETF・ETN,-
2257,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ,,ETF・ETN,-
2258,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ,,ETF・ETN,-
2259,ｉシェアーズ　フランス国債７－１０年　ＥＴＦ（為替ヘッジあり）,,ETF・ETN,-
2264,森永乳業,,プライム（内国株式）,3050
2266,六甲バター,,プライム（内国株式）,3050
2267,ヤクルト本社,,プライム（内国株式）,3050
2268,Ｂ－Ｒ　サーティワン　アイスクリーム,,スタンダード（内国株式）,3050
2269,明治ホールディングス,,プライム（内国株式）,3050
226A,勝美ジャパン,,PRO Market,3050
2270,雪印メグミルク,,プライム（内国株式）,3050
227A,ＩＮＳＩＧＨＴ　ＬＡＢ,,PRO Market,5250
2281,プリマハム,,プライム（内国株式）,3050
2282,日本ハム,,プライム（内国株式）,3050
2286,林兼産業,,スタンダード（内国株式）,3050
2288,丸大食品,,プライム（内国株式）,3050
228A,オプロ,,グロース（内国株式）,5250
2291,福留ハム,,スタンダード（内国株式）,3050
2292,Ｓ　Ｆｏｏｄｓ,,プライム（内国株式）,3050
2293,滝沢ハム,,スタンダード（内国株式）,3050
2294,柿安本店,,プライム（内国株式）,3050
2296,伊藤ハム米久ホールディングス,,プライム（内国株式）,3050
229A,アスミホールディングス,,PRO Market,2050
2300,きょくとう,,スタンダード（内国株式）,9050
2301,学情,,プライム（内国株式）,9050
2303,ドーン,,スタンダード（内国株式）,5250
2304,ＣＳＳホールディングス,,スタンダード（内国株式）,9050
2305,スタジオアリス,,スタンダード（内国株式）,9050
2307,クロスキャット,,プライム（内国株式）,5250
2311,エプコ,,スタンダード（内国株式）,9050
2315,ＣＡＩＣＡ　ＤＩＧＩＴＡＬ,,スタンダード（内国株式）,5250
2317,システナ,,プライム（内国株式）,5250
2321,ソフトフロントホールディングス,,グロース（内国株式）,5250
2323,ｆｏｎｆｕｎ,,スタンダード（内国株式）,5250
2325,ＮＪＳ,,プライム（内国株式）,9050
2326,デジタルアーツ,,プライム（内国株式）,5250
2327,日鉄ソリューションズ,,プライム（内国株式）,5250
2329,東北新社,,スタンダード（内国株式）,5250
2330,フォーサイド,,スタンダード（内国株式）,5250
2331,ＡＬＳＯＫ,,プライム（内国株式）,9050
2332,クエスト,,スタンダード（内国株式）,5250
2334,イオレ,,グロース（内国株式）,9050
2335,キューブシステム,,プライム（内国株式）,5250
2337,いちご,,プライム（内国株式）,8050
2338,クオンタムソリューションズ,,スタンダード（内国株式）,5250
233A,ｉＦｒｅｅＥＴＦ　インドＮｉｆｔｙ５０,,ETF・ETN,-
2340,極楽湯ホールディングス,,スタンダード（内国株式）,9050
2341,アルバイトタイムス,,スタンダード（内国株式）,9050
2342,トランスジェニックグループ,,グロース（内国株式）,9050
2344,平安レイサービス,,スタンダード（内国株式）,9050
